mercado_name,mes,agente_name,vtpui_miles_millones_cop,recaudo_propio_miles_millones_cop,giros_recibidos_miles_millones_cop,pct_apalancamiento_cior,param_rcpui,param_competitivo,param_cfpui
,2025-11-01,ENEL COLOMBIA SA ESP,4.894000141099638e-05,4.894000141099638e-05,0,2209263.8286366966,0.03,f,0.025
,2024-10-01,ENEL COLOMBIA SA ESP,4.596851757851475e-05,4.596851757851475e-05,0,2204907.7268502316,0.03,f,0.025
,2024-09-01,ENEL COLOMBIA SA ESP,4.6571239080218234e-05,4.6571239080218234e-05,0,2203257.474300962,0.03,f,0.025
,2024-07-01,ENEL COLOMBIA SA ESP,4.659122449461967e-05,4.659122449461967e-05,0,2189331.956458497,0.03,f,0.025
,2026-01-01,ENEL COLOMBIA SA ESP,4.91153458768461e-05,4.91153458768461e-05,0,2177018.2279286645,0.03,f,0.025
,2025-08-01,ENEL COLOMBIA SA ESP,4.7277458744286144e-05,4.7277458744286144e-05,0,2171324.301957901,0.03,f,0.025
,2024-06-01,ENEL COLOMBIA SA ESP,4.667861256545839e-05,4.667861256545839e-05,0,2169744.028323395,0.03,f,0.025
,2025-07-01,ENEL COLOMBIA SA ESP,4.962241527940803e-05,4.962241527940803e-05,0,2167306.404574717,0.03,f,0.025
,2025-08-01,ENEL COLOMBIA SA ESP,4.727747047837329e-05,4.727747047837329e-05,0,2159684.9105477156,0.03,f,0.025
,2025-12-01,ENEL COLOMBIA SA ESP,4.992416568974056e-05,4.992416568974056e-05,0,2156436.6617318327,0.03,f,0.025
,2025-12-01,ENEL COLOMBIA SA ESP,4.992417190157869e-05,4.992417190157869e-05,0,2150665.8209327864,0.03,f,0.025
,2025-10-01,ENEL COLOMBIA SA ESP,4.891017529262577e-05,4.891017529262577e-05,0,2147560.443780757,0.03,f,0.025
,2025-06-01,ENEL COLOMBIA SA ESP,4.757283177877392e-05,4.757283177877392e-05,0,2138051.8265910777,0.03,f,0.025
,2024-04-01,ENEL COLOMBIA SA ESP,4.376569192086958e-05,4.376569192086958e-05,0,2132833.2400273355,0.03,f,0.025
,2025-07-01,ENEL COLOMBIA SA ESP,4.962245510941376e-05,4.962245510941376e-05,0,2130246.635375719,0.03,f,0.025
,2024-08-01,ENEL COLOMBIA SA ESP,4.381631600925464e-05,4.381631600925464e-05,0,2127224.1262856694,0.03,f,0.025
,2026-04-01,ENEL COLOMBIA SA ESP,4.2778962946564896e-05,4.2778962946564896e-05,0,2127173.6368679083,0.03,f,0.025
,2024-12-01,ENEL COLOMBIA SA ESP,4.599331543435455e-05,4.599331543435455e-05,0,2126660.4799471647,0.03,f,0.025
,2024-11-01,ENEL COLOMBIA SA ESP,4.509749420338714e-05,4.509749420338714e-05,0,2123063.3526085853,0.03,f,0.025
,2025-10-01,ENEL COLOMBIA SA ESP,4.891020397897888e-05,4.891020397897888e-05,0,2120845.712230267,0.03,f,0.025
,2025-11-01,ENEL COLOMBIA SA ESP,4.894010589960525e-05,4.894010589960525e-05,0,2109745.674026018,0.03,f,0.025
,2024-03-01,ENEL COLOMBIA SA ESP,4.8055607593645515e-05,4.8055607593645515e-05,0,2097503.2037954135,0.03,f,0.025
,2025-04-01,ENEL COLOMBIA SA ESP,4.346524575421567e-05,4.346524575421567e-05,0,2094634.3971070114,0.03,f,0.025
,2025-01-01,ENEL COLOMBIA SA ESP,4.249416372254895e-05,4.249416372254895e-05,0,2083440.3306149815,0.03,f,0.025
,2025-05-01,ENEL COLOMBIA SA ESP,4.8637416629060016e-05,4.8637416629060016e-05,0,2079061.226061203,0.03,f,0.025
