mercado_name,mes,agente_name,perdida_millones_cop,pct_perdida_sobre_giro_cnior,facturado_millones_cop,giro_millones_cop,param_factor_recaudo
,2025-07-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.00016418018709163653,-7.999999999999993,0.0016682736405172884,0.002052252338645458,0.92
,2025-09-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.00015976617840078483,-7.999999999999995,0.0016189673642182116,0.001997077230009812,0.92
,2025-12-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.00015969412157998796,-7.999999999999999,0.0016185012858602262,0.0019961765197498496,0.92
,2025-11-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.00015846085933745872,-7.999999999999992,0.001601177396418014,0.001980760741718236,0.92
,2026-05-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.0001583884888780658,-7.999999999999982,0.0016219689392344965,0.001979856110975827,0.92
,2025-05-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.00015655923169662946,-8.000000000000007,0.0015816984830665098,0.001956990396207867,0.92
,2026-01-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.00015552643958204317,-7.9999999999999964,0.001581023952117718,0.0019440804947755406,0.92
,2025-12-01,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,-0.00015511352393781386,-8.000000000000002,0.001572076889642524,0.001938919049222673,0.92
,2025-06-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.0001547106155276838,-7.999999999999992,0.0015669533037343713,0.0019338826940960491,0.92
,2025-07-01,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,-0.00015426367533675876,-7.9999999999999964,0.0015675096234967155,0.0019282959417094854,0.92
,2026-01-01,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,-0.00015383917101482076,-8.000000000000007,0.0015638718072759586,0.0019229896376852578,0.92
,2025-08-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.00015376387488532056,-8.000000000000002,0.0015605647279452505,0.0019220484360665065,0.92
,2026-07-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.0001533329065231478,-7.999999999999997,0.0015719760801937636,0.0019166613315393483,0.92
,2025-10-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.00015151413014256377,-7.999999999999999,0.001526765457098695,0.0018939266267820475,0.92
,2026-05-01,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,-0.00015065891810862877,-7.99999999999999,0.0015428146787800413,0.001883236476357862,0.92
,2025-05-01,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,-0.0001500754602888446,-8.000000000000004,0.0015161937454083983,0.0018759432536105572,0.92
,2026-06-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.00014812675520757307,-7.999999999999987,0.001513337237509568,0.0018515844400946665,0.92
,2025-09-01,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,-0.00014771564832310855,-7.99999999999999,0.0014968550679076186,0.001846445604038859,0.92
,2026-03-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.00014739910294312767,-7.999999999999992,0.0014954716364802578,0.0018424887867890978,0.92
,2026-08-01,AIR- E S.A.S. E.S.P. - INTERVENIDO,-0.00014722551451909407,-7.999999999999988,0.0015212718592577984,0.0018403189314886788,0.92
